walker	inv_sigma_noise	inv_sigma_gp	lambda2	zeta0	ell0	nu0	zeta1	ell1	nu1	zeta2	ell2	nu2	log_l	log_p
0	1.348391492e-01	3.131268676e-01	1.004274750e-01	3.759627507e+00	6.025762453e-01	-1.530758564e+00	2.051065671e+00	1.124563594e+00	1.771543752e-01	4.836925812e-01	1.511252347e+00	-5.142601179e-01	-4.316883653e+04	-1.445278528e+01

1	5.663686048e-02	4.779478866e+00	1.499190979e+00	8.878147159e-02	2.026497651e+00	-4.333575777e-02	1.345808522e+00	3.299406873e-01	-4.666356118e-01	7.169236933e-01	1.555843255e+00	2.386158202e-01	-1.806478091e+04	-1.505977429e+01

2	2.008598124e+00	7.203712166e-01	3.776133339e-01	3.368140403e-02	4.152061270e-01	6.984414596e-01	4.066574727e-01	9.668133315e-01	2.564649363e-01	8.279035188e-01	2.648452233e+00	1.813505274e-02	-2.205503424e+06	-1.149899246e+01

3	6.571569993e-01	3.706613392e-01	1.827528715e+00	3.173588808e-01	4.767052680e-01	2.994678461e-01	3.799604067e-01	1.864581608e+00	-1.582476061e-01	1.220753151e+00	2.516930476e+00	-1.275543741e+00	-2.710106206e+05	-1.263344766e+01

4	1.291358610e-01	7.488561938e-01	6.924102298e-01	1.720963069e+00	5.122054324e+00	2.575427993e-01	3.244287866e-01	1.087599461e+00	3.212353927e-01	8.562390318e-01	4.904692750e+00	-2.395119300e-02	-2.693195763e+04	-1.625376375e+01

5	4.432854715e-01	8.414275931e-01	1.662520882e+00	1.207633493e+00	1.222213439e+00	-1.269589632e+00	7.871803227e-01	3.689834757e-01	2.309239734e-01	6.560309986e-01	2.029849280e+00	4.506977613e-01	-2.388175686e+05	-1.257332627e+01

6	2.749032516e+00	4.533024387e-01	3.366593902e+00	3.305953614e-01	4.576244340e-01	1.713885016e-01	1.132201004e+00	9.167707552e-01	3.004630747e-01	7.830658302e-01	6.520170376e-01	1.277568857e+00	-2.783662486e+06	-1.341018002e+01

7	5.937971013e-01	1.564738541e-01	7.656891253e+00	1.557385812e-01	1.367008218e+00	9.094642513e-01	1.121641743e+00	1.254205948e-01	-5.358054534e-01	1.229346230e+00	5.785760184e-01	-2.936587312e-01	-1.087051653e+05	-1.429207934e+01

8	3.125018547e-02	2.542833149e+00	1.140096112e+00	1.141345119e+00	3.080748357e-01	3.924177185e-01	1.478674738e-01	1.061865296e+00	-1.689119594e-02	3.026167393e+00	1.613883819e+00	-1.097361958e-01	-6.371287261e+03	-1.387413055e+01

9	3.904431307e-01	1.369740711e-01	1.323342141e+00	1.936531938e+00	3.307780988e-01	-5.802186576e-01	3.132442357e+00	2.960215460e-01	-1.269654663e+00	1.430658477e+00	6.418663660e-01	8.471337493e-01	-6.107784435e+04	-1.387808221e+01

10	1.939143742e-01	1.300412321e+00	1.590593135e+00	3.605198829e-01	1.137551543e-01	6.702987701e-01	8.777659632e-01	6.445715602e-01	6.689793384e-01	2.760228353e-01	4.970710911e-01	7.247381705e-01	-1.749620401e+05	-1.009486443e+01

11	6.966779017e-01	6.943715848e-01	4.645638118e-01	3.990032525e-01	2.273828924e+00	7.451015993e-02	8.543114292e-01	9.300683636e-01	-2.928762188e-01	8.394783092e-01	3.167603899e-01	-7.735785687e-01	-4.086292936e+05	-1.078014390e+01

12	1.574328822e-01	1.602134403e+00	1.931688782e-01	3.076203349e+00	1.237027891e+00	-7.300537677e-01	1.882828949e+00	6.760116290e-01	1.857990702e-01	9.924530670e-01	1.817577061e+00	-9.580878253e-01	-1.013587487e+05	-1.534898864e+01

13	1.410702864e+00	1.273414900e+00	5.200369825e-01	9.710287483e-01	2.096650251e-01	2.217148540e+00	1.868595031e-03	3.275548026e-01	3.526816094e-01	1.444411767e+00	2.330379117e+00	4.492097342e-01	-1.950279900e+06	-1.447350171e+01

14	7.351402853e-01	2.512665851e-01	3.692356681e-01	4.377703773e-01	4.756297265e-01	5.998422886e-01	2.544415134e-02	5.338291627e-01	1.535650354e-01	1.018044849e-01	1.516899404e+00	5.019568586e-01	-2.645239132e+05	-7.772563817e+00

15	5.958343251e-01	1.501459147e-01	9.600608668e-01	6.439211653e-01	4.659517722e-01	7.445619789e-02	4.514251562e-01	3.560495730e+00	-4.407594809e-01	2.815739335e+00	5.718047014e+00	-1.463020740e+00	-2.066111159e+05	-1.732468480e+01

16	6.903393290e-01	3.709607243e-01	5.866616891e-01	9.769284135e-01	2.168491188e+00	1.080988916e+00	3.820131110e-01	1.363318234e+00	9.339724318e-02	3.076947639e-01	1.245558102e+00	-1.915682693e-01	-3.026296822e+05	-1.142997897e+01

17	6.399669615e-01	2.453469872e-01	6.026535507e+00	8.052280612e-01	2.934668192e-01	-1.087027437e+00	1.272857388e+00	8.214267015e-01	-7.734388671e-01	1.162178727e+00	7.331406452e-01	2.414472794e-01	-2.011773281e+05	-1.360651646e+01
