beta0,beta1,beta2,ell0,ell1,ell2,inv_sigma_gp,inv_sigma_noise,lambda,lambda2,log_likelihood,log_prior,nu0,nu1,nu2,sigma_noise,tau_sq0,tau_sq1,tau_sq2,zeta0,zeta1,zeta2
0.8820455371825602,1.132932487614288,-0.5652253722193347,1.4277263611876307,1.5391172798151949,1.04753740303357,,,1.6573819980790954,,-543295.8731193787,-15.337905183606466,,,,1.2403606318467264,0.5689098355456683,0.7510247326881654,0.05551383624976199,,,
0.8820455371825602,1.132932487614288,-0.5652253722193347,1.4277263611876307,1.5391172798151949,1.04753740303357,,,1.6573819980790954,,-16979.135283048334,-16.454817889117304,,,,1.2403606318467264,0.5689098355456683,0.7510247326881654,0.05551383624976199,,,
0.8820455371825602,1.132932487614288,-0.5652253722193347,1.4277263611876307,1.5391172798151949,1.04753740303357,,,1.6573819980790954,,-163632.85671495457,-11.377989841588114,,,,1.2403606318467264,0.5689098355456683,0.7510247326881654,0.05551383624976199,,,
0.8820455371825602,1.132932487614288,-0.5652253722193347,1.4277263611876307,1.5391172798151949,1.04753740303357,,,1.6573819980790954,,-6564.927065438187,-12.072654229122575,,,,1.2403606318467264,0.5689098355456683,0.7510247326881654,0.05551383624976199,,,
0.5614088972519906,0.548158276178947,-1.3515921558604325,1.1984307959570162,2.0785411663107,0.942510896051906,,,1.55328152110509,,-21154.16557037152,-16.736916426448758,,,,1.2496707645936056,0.6728157990103424,0.7692656093282949,0.781587756915925,,,
0.5614088972519906,0.548158276178947,-1.3515921558604325,1.1984307959570162,2.0785411663107,0.942510896051906,,,1.55328152110509,,-45717.85104497308,-16.258136038110585,,,,1.2496707645936056,0.6728157990103424,0.7692656093282949,0.781587756915925,,,
-1.1703481237568567,1.3351028838895413,1.990906583716951,0.8971464450392945,3.748379257403453,0.9749551634873853,,,1.8016405214963338,,-19007.35447665201,-14.08660105322675,,,,1.588448975629064,0.32957451005466937,0.6426641769907722,1.2456253695555533,,,
-1.1703481237568567,1.3351028838895413,1.990906583716951,0.8971464450392945,3.748379257403453,0.9749551634873853,,,1.8016405214963338,,-207997.56684068553,-9.350941303916159,,,,1.588448975629064,0.32957451005466937,0.6426641769907722,1.2456253695555533,,,
-1.2064905711931542,1.6822104638126294,0.6431701549765444,2.4514390598004283,2.541467854854298,0.915162125962298,,,1.5889094317287498,,-429726.061826196,-19.88443445630529,,,,1.9215941744192202,0.5600330031074872,0.7849502934838332,1.1527039322661323,,,
-1.0577350340045517,1.9844821424831367,1.259089422030288,1.958462479782758,2.557613698865849,0.9452863729050163,,,1.6349979452417363,,-374243.1464165249,-14.273993699771934,,,,2.072058011656867,0.5123475318689522,0.8282113423635895,1.4188079051202713,,,
-1.0577350340045517,1.9844821424831367,1.259089422030288,1.958462479782758,2.557613698865849,0.9452863729050163,,,1.6349979452417363,,-247376.7835047436,-12.99959132911158,,,,2.072058011656867,0.5123475318689522,0.8282113423635895,1.4188079051202713,,,
-0.4209209144332316,-1.0067480078577267,0.5208099212558327,1.3507048459279405,1.656099922837523,0.6445982072604257,,,1.3417934058070575,,-1991271.177172505,-14.860828496873012,,,,3.0613620940031097,0.7911818168786582,0.8207177456618598,2.5204788971596748,,,
-0.7756803484998791,-1.261755092891711,-1.9746747889019036,1.2539644756836004,1.5104499677986032,0.9425183261140653,,,1.2535549085101407,,-15747.712596383108,-11.291634080708556,,,,3.729400602668472,0.8319374230612583,0.8529206902720909,2.6685241523933487,,,
-0.7756803484998791,-1.261755092891711,-1.9746747889019036,1.2539644756836004,1.5104499677986032,0.9425183261140653,,,1.2535549085101407,,-33732.074745519785,-12.511180977256044,,,,3.729400602668472,0.8319374230612583,0.8529206902720909,2.6685241523933487,,,
-0.32771622274986106,-0.7917764765976615,-1.4009540020115885,1.2053383604893555,1.2140472698034432,1.166312206938054,,,1.3338989602467601,,-845511.1556276834,-16.552619580329758,,,,4.215692409591197,0.767138061200831,0.850932317030309,2.312701828684249,,,
-0.32771622274986106,-0.7917764765976615,-1.4009540020115885,1.2053383604893555,1.2140472698034432,1.166312206938054,,,1.3338989602467601,,-22046.76690135134,-15.424393879832149,,,,4.215692409591197,0.767138061200831,0.850932317030309,2.312701828684249,,,
-0.32771622274986106,-0.7917764765976615,-1.4009540020115885,1.2053383604893555,1.2140472698034432,1.166312206938054,,,1.3338989602467601,,-1611303.1128763242,-11.593241938493797,,,,4.215692409591197,0.767138061200831,0.850932317030309,2.312701828684249,,,
-0.6781419065728093,-0.9177355499115346,-6.688444192277292,1.2847244565956086,1.3056471292107432,1.5769279672198089,,,1.2709411229400476,,-121020.63548281475,-12.771404199674663,,,,6.114332627764573,0.7426190699051138,0.8926337895650072,2.1550611743163537,,,
-0.8986469037806981,-1.145833655503885,-7.854108393774694,1.281343928217034,1.2597479494654542,1.5913118892261335,,,1.253995303868772,,-372821.45477025793,-12.045575122435817,,,,6.982193627697166,0.7515260292785487,0.9098800346230212,2.2675399267004437,,,
-0.8986469037806981,-1.145833655503885,-7.854108393774694,1.281343928217034,1.2597479494654542,1.5913118892261335,,,1.253995303868772,,-683490.3117712401,-15.636520815932029,,,,6.982193627697166,0.7515260292785487,0.9098800346230212,2.2675399267004437,,,
-2.2019870991563333,-3.6364257631008545,-18.93942246032329,0.9119762421854625,1.4594753002023735,1.869763079135626,,,1.2130921114660258,,-287960.03554167936,-16.35989047594111,,,,13.726986025329884,0.6605669859083291,0.9486790248041009,2.6682547444654423,,,
-2.861492530396163,-4.606277125904464,-21.047698288549693,0.9529415990182271,1.4477444375335968,1.897304089494185,,,1.2344356519232849,,-937696.7980082482,-14.905047106168482,,,,14.715643740345316,0.6626354059645988,0.7037301336039246,2.5593057407999025,,,
-3.7344054798344235,0.02840789197534413,-17.5480928536977,1.828162195356402,1.3148936971019745,1.7837548391472002,,,1.2273289760894623,,-2728313.3102305643,-13.252739100343021,,,,14.55901311756768,0.6706042410150043,0.9144229690961544,2.172210155689078,,,
2.294996816062774,-0.12575078186152863,-6.223360534295001,1.0544221314845141,4.258345828776619,3.0521306518446494,,,1.8923161431608932,,-746995.5752677408,-14.200330473440914,,,,6.091950048226099,0.22345854371231896,0.6521509038879278,0.6770060377647429,,,
2.294996816062774,-0.12575078186152863,-6.223360534295001,1.0544221314845141,4.258345828776619,3.0521306518446494,,,1.8923161431608932,,-381024.2268207861,-11.459087892558118,,,,6.091950048226099,0.22345854371231896,0.6521509038879278,0.6770060377647429,,,
