walker	inv_sigma_noise	inv_sigma_gp	lambda2	zeta0	ell0	nu0	zeta1	ell1	nu1	zeta2	ell2	nu2	log_l	log_p
0	1.348391492e-01	3.131268676e-01	1.004274750e-01	3.759627507e+00	6.025762453e-01	-1.530758564e+00	2.051065671e+00	1.124563594e+00	1.771543752e-01	4.836925812e-01	1.511252347e+00	-5.142601179e-01	-4.316883653e+04	-1.445278528e+01

1	5.663686048e-02	4.779478866e+00	1.499190979e+00	8.878147159e-02	2.026497651e+00	-4.333575777e-02	1.345808522e+00	3.299406873e-01	-4.666356118e-01	7.169236933e-01	1.555843255e+00	2.386158202e-01	-1.806478091e+04	-1.505977429e+01

2	2.008598124e+00	7.203712166e-01	3.776133339e-01	3.368140403e-02	4.152061270e-01	6.984414596e-01	4.066574727e-01	9.668133315e-01	2.564649363e-01	8.279035188e-01	2.648452233e+00	1.813505274e-02	-2.205503424e+06	-1.149899246e+01

3	6.963365168e-01	5.115503013e-01	2.381760443e+00	1.087157828e-01	4.835757573e-01	4.432294794e-01	3.343010411e-01	7.810493295e-01	2.225135400e-02	2.017044899e-01	4.717130604e-01	-1.155763277e+00	-3.741070716e+05	-8.898997963e+00

4	1.372800680e-01	2.960744302e-01	6.017801609e-01	1.904314904e+00	5.469795039e+00	2.913421238e-01	2.096916465e-01	1.172711392e+00	4.097412271e-01	8.718890814e-01	5.280887225e+00	-5.344677345e-02	-1.710311540e+04	-1.633904557e+01

5	4.432854715e-01	8.414275931e-01	1.662520882e+00	1.207633493e+00	1.222213439e+00	-1.269589632e+00	7.871803227e-01	3.689834757e-01	2.309239734e-01	6.560309986e-01	2.029849280e+00	4.506977613e-01	-2.388175686e+05	-1.257332627e+01

6	2.820675422e+00	2.680355249e-01	3.492582065e+00	3.796223834e-01	6.933504020e-01	1.851347794e-01	8.898873459e-01	1.131800975e+00	1.225953520e+00	6.085995996e-01	8.151523596e-01	1.085241962e+00	-3.238396006e+06	-1.402550182e+01

7	5.937971013e-01	1.564738541e-01	7.656891253e+00	1.557385812e-01	1.367008218e+00	9.094642513e-01	1.121641743e+00	1.254205948e-01	-5.358054534e-01	1.229346230e+00	5.785760184e-01	-2.936587312e-01	-1.087051653e+05	-1.429207934e+01

8	3.125018547e-02	2.542833149e+00	1.140096112e+00	1.141345119e+00	3.080748357e-01	3.924177185e-01	1.478674738e-01	1.061865296e+00	-1.689119594e-02	3.026167393e+00	1.613883819e+00	-1.097361958e-01	-6.371287261e+03	-1.387413055e+01

9	3.904431307e-01	1.369740711e-01	1.323342141e+00	1.936531938e+00	3.307780988e-01	-5.802186576e-01	3.132442357e+00	2.960215460e-01	-1.269654663e+00	1.430658477e+00	6.418663660e-01	8.471337493e-01	-6.107784435e+04	-1.387808221e+01

10	1.939143742e-01	1.300412321e+00	1.590593135e+00	3.605198829e-01	1.137551543e-01	6.702987701e-01	8.777659632e-01	6.445715602e-01	6.689793384e-01	2.760228353e-01	4.970710911e-01	7.247381705e-01	-1.749620401e+05	-1.009486443e+01

11	6.966779017e-01	6.943715848e-01	4.645638118e-01	3.990032525e-01	2.273828924e+00	7.451015993e-02	8.543114292e-01	9.300683636e-01	-2.928762188e-01	8.394783092e-01	3.167603899e-01	-7.735785687e-01	-4.086292936e+05	-1.078014390e+01

12	1.798772467e-01	2.882620228e+00	2.852971620e-01	2.397297352e+00	1.867285137e+00	6.535751822e-02	1.715704451e+00	2.304250701e-01	1.943866146e-01	1.497850105e+00	2.121876643e+00	-1.398981359e+00	-1.562261160e+05	-1.738766472e+01

13	1.698755584e+00	1.006970678e+00	4.514204168e-01	5.194355171e-01	3.086901847e-01	1.485469038e+00	1.968869288e-01	6.355354315e-01	3.063265431e-01	1.147391720e+00	2.483619714e+00	2.415274812e-01	-1.827781525e+06	-1.258102936e+01

14	7.351402853e-01	2.512665851e-01	3.692356681e-01	4.377703773e-01	4.756297265e-01	5.998422886e-01	2.544415134e-02	5.338291627e-01	1.535650354e-01	1.018044849e-01	1.516899404e+00	5.019568586e-01	-2.645239132e+05	-7.772563817e+00

15	5.958343251e-01	1.501459147e-01	9.600608668e-01	6.439211653e-01	4.659517722e-01	7.445619789e-02	4.514251562e-01	3.560495730e+00	-4.407594809e-01	2.815739335e+00	5.718047014e+00	-1.463020740e+00	-2.066111159e+05	-1.732468480e+01

16	8.327874909e-01	2.750409410e-01	5.598199355e-01	7.880729002e-01	1.418799385e+00	1.290001141e+00	3.966295232e-01	1.433302891e+00	3.556594411e-02	1.684598391e-01	3.167737402e-01	-2.341138803e-01	-3.574095065e+05	-1.007278437e+01

17	5.207360968e-01	2.140724673e-01	4.548366597e+00	8.934711506e-01	6.036409948e-01	-1.043221914e+00	1.339321729e+00	9.199744755e-01	-7.428273477e-01	1.240965790e+00	5.616309330e+00	-4.016353103e-02	-1.610736785e+05	-1.643227690e+01

