walker	inv_sigma_noise	inv_sigma_gp	lambda2	zeta0	ell0	nu0	zeta1	ell1	nu1	zeta2	ell2	nu2	log_l	log_p
0	1.348391492e-01	3.131268676e-01	1.004274750e-01	3.759627507e+00	6.025762453e-01	-1.530758564e+00	2.051065671e+00	1.124563594e+00	1.771543752e-01	4.836925812e-01	1.511252347e+00	-5.142601179e-01	-4.316883653e+04	-1.445278528e+01

1	5.663686048e-02	4.779478866e+00	1.499190979e+00	8.878147159e-02	2.026497651e+00	-4.333575777e-02	1.345808522e+00	3.299406873e-01	-4.666356118e-01	7.169236933e-01	1.555843255e+00	2.386158202e-01	-1.806478091e+04	-1.505977429e+01

2	1.863179982e+00	7.016936514e-01	5.648838778e-01	6.352050662e-02	4.855767833e-01	6.691332086e-01	3.989308995e-01	9.514984527e-01	2.359633541e-01	7.711166778e-01	2.480452853e+00	-8.961700544e-02	-1.933074749e+06	-1.127287977e+01

3	6.226863055e-01	5.423641393e-01	2.162400683e+00	3.180638364e-01	1.085875707e+00	4.191183238e-01	3.330191426e-01	8.208544351e-01	6.107401296e-02	2.866948841e-01	1.047329269e+00	-1.008799062e+00	-2.830194379e+05	-9.961606506e+00

4	1.291358610e-01	7.488561938e-01	6.924102298e-01	1.720963069e+00	5.122054324e+00	2.575427993e-01	3.244287866e-01	1.087599461e+00	3.212353927e-01	8.562390318e-01	4.904692750e+00	-2.395119300e-02	-2.693195763e+04	-1.625376375e+01

5	3.421799727e-01	6.682561058e-01	1.150482898e+00	2.044150609e+00	1.019102806e+00	-1.355198094e+00	1.201468805e+00	6.166547858e-01	2.132988579e-01	5.995402564e-01	1.859858595e+00	1.343945971e-01	-1.358764192e+05	-1.300776571e+01

6	3.704031597e+00	2.660850089e-01	4.826558176e+00	2.765563146e-01	7.964454715e-01	-3.522553256e-03	1.227479166e+00	1.357934336e+00	1.704616236e+00	7.208008977e-01	4.885585362e-01	1.343868762e+00	-4.863041355e+06	-1.704392252e+01

7	5.937971013e-01	1.564738541e-01	7.656891253e+00	1.557385812e-01	1.367008218e+00	9.094642513e-01	1.121641743e+00	1.254205948e-01	-5.358054534e-01	1.229346230e+00	5.785760184e-01	-2.936587312e-01	-1.087051653e+05	-1.429207934e+01

8	3.125018547e-02	2.542833149e+00	1.140096112e+00	1.141345119e+00	3.080748357e-01	3.924177185e-01	1.478674738e-01	1.061865296e+00	-1.689119594e-02	3.026167393e+00	1.613883819e+00	-1.097361958e-01	-6.371287261e+03	-1.387413055e+01

9	3.904431307e-01	1.369740711e-01	1.323342141e+00	1.936531938e+00	3.307780988e-01	-5.802186576e-01	3.132442357e+00	2.960215460e-01	-1.269654663e+00	1.430658477e+00	6.418663660e-01	8.471337493e-01	-6.107784435e+04	-1.387808221e+01

10	1.939143742e-01	1.300412321e+00	1.590593135e+00	3.605198829e-01	1.137551543e-01	6.702987701e-01	8.777659632e-01	6.445715602e-01	6.689793384e-01	2.760228353e-01	4.970710911e-01	7.247381705e-01	-1.749620401e+05	-1.009486443e+01

11	6.966779017e-01	6.943715848e-01	4.645638118e-01	3.990032525e-01	2.273828924e+00	7.451015993e-02	8.543114292e-01	9.300683636e-01	-2.928762188e-01	8.394783092e-01	3.167603899e-01	-7.735785687e-01	-4.086292936e+05	-1.078014390e+01

12	1.798772467e-01	2.882620228e+00	2.852971620e-01	2.397297352e+00	1.867285137e+00	6.535751822e-02	1.715704451e+00	2.304250701e-01	1.943866146e-01	1.497850105e+00	2.121876643e+00	-1.398981359e+00	-1.562261160e+05	-1.738766472e+01

13	1.410702864e+00	1.273414900e+00	5.200369825e-01	9.710287483e-01	2.096650251e-01	2.217148540e+00	1.868595031e-03	3.275548026e-01	3.526816094e-01	1.444411767e+00	2.330379117e+00	4.492097342e-01	-1.950279900e+06	-1.447350171e+01

14	7.351402853e-01	2.512665851e-01	3.692356681e-01	4.377703773e-01	4.756297265e-01	5.998422886e-01	2.544415134e-02	5.338291627e-01	1.535650354e-01	1.018044849e-01	1.516899404e+00	5.019568586e-01	-2.645239132e+05	-7.772563817e+00

15	5.958343251e-01	1.501459147e-01	9.600608668e-01	6.439211653e-01	4.659517722e-01	7.445619789e-02	4.514251562e-01	3.560495730e+00	-4.407594809e-01	2.815739335e+00	5.718047014e+00	-1.463020740e+00	-2.066111159e+05	-1.732468480e+01

16	8.327874909e-01	2.750409410e-01	5.598199355e-01	7.880729002e-01	1.418799385e+00	1.290001141e+00	3.966295232e-01	1.433302891e+00	3.556594411e-02	1.684598391e-01	3.167737402e-01	-2.341138803e-01	-3.574095065e+05	-1.007278437e+01

17	5.174519307e-01	3.091396016e-01	4.889050845e+00	7.980217396e-01	5.130770237e-01	-5.688847449e-01	1.134395379e+00	7.016235971e-01	-3.649439847e-01	8.932619457e-01	6.856958973e-01	2.587764044e-01	-1.730197090e+05	-1.170868863e+01
