walker	inv_sigma_noise	inv_sigma_gp	lambda2	zeta0	ell0	nu0	zeta1	ell1	nu1	zeta2	ell2	nu2	log_l	log_p
0	1.348391492e-01	3.131268676e-01	1.004274750e-01	3.759627507e+00	6.025762453e-01	-1.530758564e+00	2.051065671e+00	1.124563594e+00	1.771543752e-01	4.836925812e-01	1.511252347e+00	-5.142601179e-01	-4.316883653e+04	-1.445278528e+01

1	5.663686048e-02	4.779478866e+00	1.499190979e+00	8.878147159e-02	2.026497651e+00	-4.333575777e-02	1.345808522e+00	3.299406873e-01	-4.666356118e-01	7.169236933e-01	1.555843255e+00	2.386158202e-01	-1.806478091e+04	-1.505977429e+01

2	1.711235829e+00	9.954266480e-01	4.484475181e-01	4.998696745e-01	3.129805738e-01	1.453768107e+00	2.053363425e-01	6.488790782e-01	3.043181517e-01	1.134522954e+00	2.490259054e+00	2.325293874e-01	-1.836749479e+06	-1.252132757e+01

3	6.963365168e-01	5.115503013e-01	2.381760443e+00	1.087157828e-01	4.835757573e-01	4.432294794e-01	3.343010411e-01	7.810493295e-01	2.225135400e-02	2.017044899e-01	4.717130604e-01	-1.155763277e+00	-3.741070716e+05	-8.898997963e+00

4	3.608521558e-02	7.577891498e-01	7.297665043e-01	1.937703337e+00	5.589031557e+00	2.875516868e-01	2.375525407e-01	1.113427276e+00	4.219212938e-01	8.589870151e-01	5.656901462e+00	9.895302579e-02	-6.145340841e+03	-1.701250466e+01

5	3.840270834e-01	9.612542617e-01	1.925110339e+00	1.363946993e+00	1.373800273e+00	-1.649160285e+00	9.418437223e-01	3.355131020e-01	2.466309816e-01	7.685615044e-01	2.133998951e+00	4.402900814e-01	-2.222409632e+05	-1.399613489e+01

6	3.615516302e+00	2.744265171e-01	4.682954433e+00	3.574609717e-01	7.763282864e-01	2.708110967e-02	1.219344653e+00	1.359700488e+00	1.634663108e+00	8.017497739e-01	5.477019443e-01	1.307544064e+00	-4.873430034e+06	-1.689341304e+01

7	5.937971013e-01	1.564738541e-01	7.656891253e+00	1.557385812e-01	1.367008218e+00	9.094642513e-01	1.121641743e+00	1.254205948e-01	-5.358054534e-01	1.229346230e+00	5.785760184e-01	-2.936587312e-01	-1.087051653e+05	-1.429207934e+01

8	3.125018547e-02	2.542833149e+00	1.140096112e+00	1.141345119e+00	3.080748357e-01	3.924177185e-01	1.478674738e-01	1.061865296e+00	-1.689119594e-02	3.026167393e+00	1.613883819e+00	-1.097361958e-01	-6.371287261e+03	-1.387413055e+01

9	1.897416364e-01	1.353590473e-01	1.295137325e+00	2.019427915e+00	1.598455657e-01	-5.699727000e-01	3.269749110e+00	2.745114856e-01	-1.362380387e+00	1.354901560e+00	6.429923762e-01	8.321098634e-01	-4.020934746e+04	-1.426985512e+01

10	1.939143742e-01	1.300412321e+00	1.590593135e+00	3.605198829e-01	1.137551543e-01	6.702987701e-01	8.777659632e-01	6.445715602e-01	6.689793384e-01	2.760228353e-01	4.970710911e-01	7.247381705e-01	-1.749620401e+05	-1.009486443e+01

11	4.359244086e-01	1.418706923e+00	7.292768719e-01	6.898962077e-01	1.503531516e+00	1.990849325e-01	5.774853750e-01	9.817141089e-01	-1.847291474e-01	1.696350969e+00	8.250492043e-01	-5.134463058e-01	-3.009727168e+05	-1.178587675e+01

12	1.798772467e-01	2.882620228e+00	2.852971620e-01	2.397297352e+00	1.867285137e+00	6.535751822e-02	1.715704451e+00	2.304250701e-01	1.943866146e-01	1.497850105e+00	2.121876643e+00	-1.398981359e+00	-1.562261160e+05	-1.738766472e+01

13	1.324727656e+00	1.183918946e+00	5.675915473e-01	9.216320435e-01	9.474299670e-01	2.014125427e+00	1.572266293e-02	7.609076085e-01	3.190572946e-01	1.613284426e+00	2.190572760e+00	3.464330404e-01	-1.253444670e+06	-1.441082165e+01

14	7.351402853e-01	2.512665851e-01	3.692356681e-01	4.377703773e-01	4.756297265e-01	5.998422886e-01	2.544415134e-02	5.338291627e-01	1.535650354e-01	1.018044849e-01	1.516899404e+00	5.019568586e-01	-2.645239132e+05	-7.772563817e+00

15	6.323352132e-01	1.036705351e-02	7.937532253e-01	5.198386175e-01	3.095016135e-01	3.714882159e-01	3.669109863e-01	4.116259212e+00	-5.592179536e-01	3.168530903e+00	6.335688490e+00	-1.791019607e+00	-1.832082181e+05	-1.854472647e+01

16	8.327874909e-01	2.750409410e-01	5.598199355e-01	7.880729002e-01	1.418799385e+00	1.290001141e+00	3.966295232e-01	1.433302891e+00	3.556594411e-02	1.684598391e-01	3.167737402e-01	-2.341138803e-01	-3.574095065e+05	-1.007278437e+01

17	6.399669615e-01	2.453469872e-01	6.026535507e+00	8.052280612e-01	2.934668192e-01	-1.087027437e+00	1.272857388e+00	8.214267015e-01	-7.734388671e-01	1.162178727e+00	7.331406452e-01	2.414472794e-01	-2.011773281e+05	-1.360651646e+01

