walker	inv_sigma_noise	inv_sigma_gp	lambda2	zeta0	ell0	nu0	zeta1	ell1	nu1	zeta2	ell2	nu2	log_l	log_p
0	7.273345886e-01	1.172660726e+00	2.800128926e+00	7.955095175e-01	1.426382664e+00	9.650895024e-01	1.019597372e+00	1.579875410e+00	1.107287276e+00	5.249958717e-02	1.042841759e+00	-2.015408516e+00	-4.662169167e+05	-1.556359208e+01

1	1.641510505e-01	2.892061257e-02	3.580860386e+00	4.000869235e-01	1.054422131e+00	7.969430208e-01	1.167630669e+00	4.258345829e+00	-2.556114536e-02	1.212132051e+00	3.052130652e+00	-1.241573278e+00	-1.697913528e+04	-1.645481789e+01

2	5.858211987e-01	2.426021301e-01	1.255758897e+00	3.282920448e-01	2.270737609e+00	4.668934733e-02	3.566617198e-01	2.817750762e+00	-2.471481845e-01	1.486347545e-02	5.169903888e-01	-3.627696921e-01	-2.117528470e+05	-1.070820547e+01

3	2.659484945e-02	1.509525902e-01	6.260260163e-01	4.118604576e-01	8.546108840e-01	-5.312643171e-01	3.866456717e-01	9.091928863e-01	-3.801076699e-01	1.385438519e+00	2.172361350e+00	-2.104533590e+00	-6.564927065e+03	-1.207265423e+01

4	1.768472226e-01	1.073838322e-01	7.746668036e-01	4.404612207e-01	1.958672372e+00	6.113623099e-01	2.140591528e+00	1.609782128e+00	2.418044129e-01	5.173130957e+00	1.438672365e+00	-2.806960790e-01	-2.115416557e+04	-1.673691643e+01

5	3.635084464e-01	3.640606731e-02	5.135082405e+00	1.396908910e+00	7.311231457e-01	1.150477679e+00	1.439372533e+00	9.163026169e-01	1.703720532e+00	2.229330218e+00	8.731420720e-01	-1.839918213e-01	-5.418318125e+04	-1.609652761e+01

6	1.645160401e-01	1.080386857e-01	7.866498422e-01	2.415574542e-01	2.262166040e-01	6.294713565e-01	3.248707052e+00	1.629806261e+00	1.325108872e+00	2.043047445e+00	1.454539985e+00	5.671254963e-02	-1.900735448e+04	-1.408660105e+01

