walker	inv_sigma_noise	inv_sigma_gp	lambda2	zeta0	ell0	nu0	zeta1	ell1	nu1	zeta2	ell2	nu2	log_l	log_p
0	1.348391492e-01	3.131268676e-01	1.004274750e-01	3.759627507e+00	6.025762453e-01	-1.530758564e+00	2.051065671e+00	1.124563594e+00	1.771543752e-01	4.836925812e-01	1.511252347e+00	-5.142601179e-01	-4.316883653e+04	-1.445278528e+01

1	5.663686048e-02	4.779478866e+00	1.499190979e+00	8.878147159e-02	2.026497651e+00	-4.333575777e-02	1.345808522e+00	3.299406873e-01	-4.666356118e-01	7.169236933e-01	1.555843255e+00	2.386158202e-01	-1.806478091e+04	-1.505977429e+01

2	1.550475026e+00	5.468602112e-01	4.486052524e-01	3.276098302e-01	8.062293400e-01	9.289268335e-01	4.027503509e-01	1.148568485e+00	1.703975649e-01	5.709689644e-01	1.739976205e+00	-8.014698287e-02	-1.362740317e+06	-1.085329307e+01

3	6.963365168e-01	5.115503013e-01	2.381760443e+00	1.087157828e-01	4.835757573e-01	4.432294794e-01	3.343010411e-01	7.810493295e-01	2.225135400e-02	2.017044899e-01	4.717130604e-01	-1.155763277e+00	-3.741070716e+05	-8.898997963e+00

4	1.291358610e-01	7.488561938e-01	6.924102298e-01	1.720963069e+00	5.122054324e+00	2.575427993e-01	3.244287866e-01	1.087599461e+00	3.212353927e-01	8.562390318e-01	4.904692750e+00	-2.395119300e-02	-2.693195763e+04	-1.625376375e+01

5	4.583155848e-01	7.760269958e-01	2.519884953e+00	1.188529959e+00	1.108652015e+00	-1.363428700e+00	9.242566448e-01	4.377144887e-01	5.889145936e-02	7.827274014e-01	1.835596171e+00	4.103130104e-01	-2.323689662e+05	-1.306653585e+01

6	2.976220523e+00	3.886935468e-01	4.074250173e+00	5.287951948e-01	8.661869729e-01	-2.342353508e-01	1.132251107e+00	1.160042506e+00	1.351769286e+00	7.723832483e-01	8.463972746e-01	1.134864882e+00	-4.016751264e+06	-1.563580436e+01

7	5.937971013e-01	1.564738541e-01	7.656891253e+00	1.557385812e-01	1.367008218e+00	9.094642513e-01	1.121641743e+00	1.254205948e-01	-5.358054534e-01	1.229346230e+00	5.785760184e-01	-2.936587312e-01	-1.087051653e+05	-1.429207934e+01

8	3.125018547e-02	2.542833149e+00	1.140096112e+00	1.141345119e+00	3.080748357e-01	3.924177185e-01	1.478674738e-01	1.061865296e+00	-1.689119594e-02	3.026167393e+00	1.613883819e+00	-1.097361958e-01	-6.371287261e+03	-1.387413055e+01

9	3.904431307e-01	1.369740711e-01	1.323342141e+00	1.936531938e+00	3.307780988e-01	-5.802186576e-01	3.132442357e+00	2.960215460e-01	-1.269654663e+00	1.430658477e+00	6.418663660e-01	8.471337493e-01	-6.107784435e+04	-1.387808221e+01

10	1.930051718e-01	1.402893909e+00	1.506047480e+00	4.924445106e-01	2.273334875e-01	6.311159675e-01	9.320402886e-01	6.177467734e-01	6.382393733e-01	3.551621179e-01	6.023117817e-01	5.871821966e-01	-1.649523586e+05	-9.758811189e+00

11	6.966779017e-01	6.943715848e-01	4.645638118e-01	3.990032525e-01	2.273828924e+00	7.451015993e-02	8.543114292e-01	9.300683636e-01	-2.928762188e-01	8.394783092e-01	3.167603899e-01	-7.735785687e-01	-4.086292936e+05	-1.078014390e+01

12	1.798772467e-01	2.882620228e+00	2.852971620e-01	2.397297352e+00	1.867285137e+00	6.535751822e-02	1.715704451e+00	2.304250701e-01	1.943866146e-01	1.497850105e+00	2.121876643e+00	-1.398981359e+00	-1.562261160e+05	-1.738766472e+01

13	8.376059505e-01	1.800797747e+00	7.776420305e-01	1.041787092e+00	2.505496162e-01	1.459059757e+00	6.252417828e-02	6.326258526e-01	1.991417038e-01	2.101555923e+00	2.032709432e+00	2.169943112e-01	-1.231897919e+06	-1.366087979e+01

14	7.351402853e-01	2.512665851e-01	3.692356681e-01	4.377703773e-01	4.756297265e-01	5.998422886e-01	2.544415134e-02	5.338291627e-01	1.535650354e-01	1.018044849e-01	1.516899404e+00	5.019568586e-01	-2.645239132e+05	-7.772563817e+00

15	5.958343251e-01	1.501459147e-01	9.600608668e-01	6.439211653e-01	4.659517722e-01	7.445619789e-02	4.514251562e-01	3.560495730e+00	-4.407594809e-01	2.815739335e+00	5.718047014e+00	-1.463020740e+00	-2.066111159e+05	-1.732468480e+01

16	8.327874909e-01	2.750409410e-01	5.598199355e-01	7.880729002e-01	1.418799385e+00	1.290001141e+00	3.966295232e-01	1.433302891e+00	3.556594411e-02	1.684598391e-01	3.167737402e-01	-2.341138803e-01	-3.574095065e+05	-1.007278437e+01

17	5.811156477e-01	2.416865485e-01	9.524779712e+00	1.032448953e+00	1.808246838e-01	-2.130119091e+00	2.044207016e+00	9.992653264e-01	-1.346660390e+00	1.817871045e+00	2.484960950e-01	8.035874747e-02	-1.701442773e+05	-1.966569058e+01
