walker	inv_sigma_noise	inv_sigma_gp	lambda2	zeta0	ell0	nu0	zeta1	ell1	nu1	zeta2	ell2	nu2	log_l	log_p
0	8.062171391e-01	1.147743260e+00	2.746915088e+00	7.813735054e-01	1.427726361e+00	9.428037740e-01	1.031500585e+00	1.539117280e+00	1.053971670e+00	7.624589718e-02	1.047537403e+00	-1.934073858e+00	-5.432958731e+05	-1.533790518e+01

1	1.436223701e-01	1.870206567e-01	3.004814207e+00	5.162638877e-01	8.115696739e-01	7.841734220e-01	1.197932262e+00	3.269286871e+00	-3.804107021e-02	1.247637269e+00	2.940833642e+00	-1.090748777e+00	-1.658893718e+04	-1.533354306e+01

2	6.346050246e-01	9.210899332e-02	1.449107017e+00	3.759354516e-01	2.708805743e+00	-7.934056848e-02	1.778061275e-01	3.134629144e+00	-1.869102616e-01	1.990809989e-02	5.396776693e-01	-2.973506141e-01	-2.248803539e+05	-1.113116297e+01

3	2.659484945e-02	1.509525902e-01	6.260260163e-01	4.118604576e-01	8.546108840e-01	-5.312643171e-01	3.866456717e-01	9.091928863e-01	-3.801076699e-01	1.385438519e+00	2.172361350e+00	-2.104533590e+00	-6.564927065e+03	-1.207265423e+01

4	1.768472226e-01	1.073838322e-01	7.746668036e-01	4.404612207e-01	1.958672372e+00	6.113623099e-01	2.140591528e+00	1.609782128e+00	2.418044129e-01	5.173130957e+00	1.438672365e+00	-2.806960790e-01	-2.115416557e+04	-1.673691643e+01

5	3.635084464e-01	3.640606731e-02	5.135082405e+00	1.396908910e+00	7.311231457e-01	1.150477679e+00	1.439372533e+00	9.163026169e-01	1.703720532e+00	2.229330218e+00	8.731420720e-01	-1.839918213e-01	-5.418318125e+04	-1.609652761e+01

6	1.666882923e-01	1.079233271e-01	7.845389188e-01	2.765961974e-01	5.314047551e-01	6.262812800e-01	3.053502226e+00	1.626278824e+00	1.134274745e+00	2.594440686e+00	1.451744756e+00	-2.725109600e-03	-1.889220696e+04	-1.418396087e+01

7	4.394610216e-01	6.542524355e-01	8.883814799e-01	2.428013208e-01	9.768612160e-01	4.484583293e-01	9.052192108e-01	1.846621877e+00	-3.284402393e-01	9.970075778e-02	4.694572647e-01	-5.377301981e-01	-1.990148625e+05	-9.537890717e+00

8	8.054313137e-01	4.933975706e-01	1.908134346e+00	2.535292030e-01	9.228811230e-01	-2.841350630e+00	1.159319432e+00	3.018368513e+00	1.074307783e+00	2.076911937e+00	4.250625950e-01	2.084030173e+00	-4.297260618e+05	-1.988443446e+01

9	5.199407324e-01	1.273609221e-01	1.676937338e+00	2.178585461e-01	1.258249930e+00	5.352512178e-01	1.378454532e+00	2.721382589e+00	1.586612772e-02	6.347388711e-01	2.392766747e+00	-2.026045353e+00	-1.618459504e+05	-1.511792423e+01

10	1.079708985e+00	1.806956481e-01	3.078344381e-01	2.365439511e+00	4.287687797e+00	5.836895915e-01	2.595654423e-01	9.260402375e-01	-3.956048994e-01	1.251149653e-01	4.884190061e-01	-1.572055225e+00	-5.808304164e+05	-1.373961259e+01

11	3.586284568e+00	2.695739299e-01	8.714932194e-01	2.831762901e-01	1.475082451e+00	1.573851049e-01	1.451006956e+00	1.026734941e-01	-8.250367930e-01	9.131400218e-01	1.213026567e+00	9.324134681e-01	-1.991271177e+06	-1.486082850e+01

12	8.397620369e-02	4.638664890e-01	9.204478497e-01	7.195464383e-01	6.828604709e-01	6.269981969e-01	1.101638883e-01	2.123466328e-01	-4.859622498e-01	9.361680856e-02	7.610624967e-01	1.978797763e-01	-2.879897078e+04	-7.519264170e+00

13	8.794595931e-02	6.158082280e-01	1.442503182e+00	8.313506962e-01	1.529227010e-01	7.495406344e-01	1.280114065e+00	5.868322862e-01	-7.188822498e-02	1.343931971e+00	2.638981895e+00	-6.816934091e-01	-3.373207475e+04	-1.251118098e+01

14	1.473300340e+00	5.519920692e-01	5.448630124e+00	2.106734592e+00	6.950075562e-01	-3.589065113e-01	6.652127287e-01	5.802089435e+00	-1.062605080e+00	7.960690422e-01	1.461038216e+00	5.830051235e-01	-1.310556412e+06	-1.900076237e+01

15	6.947318404e-02	9.145804892e-01	1.065577782e+00	4.146323379e-01	6.610943128e+00	-1.247925766e+00	1.233373406e+00	4.377327915e-01	1.626725450e+00	6.937764967e-01	8.894899228e-01	-6.792122919e-01	-2.204676690e+04	-1.542439388e+01

16	7.630963499e-01	1.997522118e+00	1.331484787e-01	1.073607047e+00	3.494739510e-01	-7.551800654e-01	1.923138877e+00	2.324500607e-01	6.178742509e-01	5.959409698e-02	1.024212196e+00	3.147071368e-01	-1.678144568e+06	-1.163846288e+01

17	1.083260179e-01	1.616969088e+00	3.915113171e-01	6.562577645e-01	4.417913750e-01	6.768702112e-01	2.698322784e-01	3.947567294e-01	-2.515792239e+00	1.998377379e+00	1.254612069e-01	-5.484652848e-01	-6.520418316e+04	-1.360192040e+01

18	1.041307512e+00	4.035954577e-01	1.618607866e+00	4.534452756e-01	3.237309204e+00	-9.986620457e-01	1.858201236e-02	2.771315880e-01	6.017541533e-02	8.971468990e-01	2.637162119e+00	1.691695556e+00	-6.406703484e+05	-1.458977947e+01

19	6.349988996e-01	1.648909744e+00	9.430278000e-01	5.460758827e-01	9.835619100e-01	1.103202687e+00	4.712036147e-01	1.790906778e+00	2.313614958e-01	5.143623424e+00	4.881518404e-01	1.331488088e-01	-6.029709950e+05	-1.598507879e+01

20	1.558898123e+00	2.120564901e-01	3.084006562e+00	8.168294804e-01	2.831575781e-01	1.852971350e+00	5.307759244e-01	9.401774382e-01	7.873526895e-01	3.342097467e+00	5.022803883e-01	-1.097710378e+00	-5.876733017e+05	-1.593564651e+01

21	8.876081373e-01	1.315392116e+00	1.091960595e+00	1.206490360e+00	5.645012732e+00	1.184140614e+00	7.083417942e-01	4.583259265e+00	1.828791946e+00	1.595538936e+00	1.115768650e-01	-1.189658446e-02	-9.669438638e+05	-2.091199239e+01

22	9.346250037e-01	2.114735405e+00	1.292538961e+00	9.482711365e-01	1.765677226e+00	-1.379493700e+00	5.799246668e-02	1.533582322e-01	-1.243534525e+00	2.950211326e-01	1.900058052e-01	2.441594727e-01	-2.728313310e+06	-1.325273910e+01

23	8.921567573e-01	6.995171005e-01	2.759508200e+00	8.051401759e-01	3.388245340e-01	-1.214182498e+00	1.179167522e+00	2.926808239e+00	-1.029402027e+00	1.265036189e+00	2.167180297e-01	2.571195234e-02	-7.235742535e+05	-1.454277731e+01

24	9.779311385e-01	8.837074296e-01	8.251439990e+00	9.510150878e-01	3.792506831e-01	1.497057956e+00	3.552635571e-01	1.104052844e+00	-1.699819095e-01	1.643712955e+00	2.519211940e-01	-3.381821143e-01	-9.922105797e+05	-1.590577113e+01
0	8.062171391e-01	1.147743260e+00	2.746915088e+00	7.813735054e-01	1.427726361e+00	9.428037740e-01	1.031500585e+00	1.539117280e+00	1.053971670e+00	7.624589718e-02	1.047537403e+00	-1.934073858e+00	-5.432958731e+05	-1.533790518e+01

1	1.436223701e-01	1.870206567e-01	3.004814207e+00	5.162638877e-01	8.115696739e-01	7.841734220e-01	1.197932262e+00	3.269286871e+00	-3.804107021e-02	1.247637269e+00	2.940833642e+00	-1.090748777e+00	-1.658893718e+04	-1.533354306e+01

2	6.346050246e-01	9.210899332e-02	1.449107017e+00	3.759354516e-01	2.708805743e+00	-7.934056848e-02	1.778061275e-01	3.134629144e+00	-1.869102616e-01	1.990809989e-02	5.396776693e-01	-2.973506141e-01	-2.248803539e+05	-1.113116297e+01

3	2.981860703e-02	1.685324917e-01	6.425670100e-01	4.291466479e-01	8.449617270e-01	-4.661916535e-01	3.711125729e-01	8.700431760e-01	-3.860547150e-01	1.312862329e+00	2.093072783e+00	-1.975181074e+00	-6.513136155e+03	-1.162419295e+01

4	1.768472226e-01	1.073838322e-01	7.746668036e-01	4.404612207e-01	1.958672372e+00	6.113623099e-01	2.140591528e+00	1.609782128e+00	2.418044129e-01	5.173130957e+00	1.438672365e+00	-2.806960790e-01	-2.115416557e+04	-1.673691643e+01

