walker	inv_sigma_noise	inv_sigma_gp	lambda2	zeta0	ell0	nu0	zeta1	ell1	nu1	zeta2	ell2	nu2	log_l	log_p
0	8.062171391e-01	1.147743260e+00	2.746915088e+00	7.813735054e-01	1.427726361e+00	9.428037740e-01	1.031500585e+00	1.539117280e+00	1.053971670e+00	7.624589718e-02	1.047537403e+00	-1.934073858e+00	-5.432958731e+05	-1.533790518e+01

1	1.641510505e-01	2.892061257e-02	3.580860386e+00	4.000869235e-01	1.054422131e+00	7.969430208e-01	1.167630669e+00	4.258345829e+00	-2.556114536e-02	1.212132051e+00	3.052130652e+00	-1.241573278e+00	-1.697913528e+04	-1.645481789e+01

2	6.346050246e-01	9.210899332e-02	1.449107017e+00	3.759354516e-01	2.708805743e+00	-7.934056848e-02	1.778061275e-01	3.134629144e+00	-1.869102616e-01	1.990809989e-02	5.396776693e-01	-2.973506141e-01	-2.248803539e+05	-1.113116297e+01

3	2.659484945e-02	1.509525902e-01	6.260260163e-01	4.118604576e-01	8.546108840e-01	-5.312643171e-01	3.866456717e-01	9.091928863e-01	-3.801076699e-01	1.385438519e+00	2.172361350e+00	-2.104533590e+00	-6.564927065e+03	-1.207265423e+01

4	1.768472226e-01	1.073838322e-01	7.746668036e-01	4.404612207e-01	1.958672372e+00	6.113623099e-01	2.140591528e+00	1.609782128e+00	2.418044129e-01	5.173130957e+00	1.438672365e+00	-2.806960790e-01	-2.115416557e+04	-1.673691643e+01

5	3.635084464e-01	3.640606731e-02	5.135082405e+00	1.396908910e+00	7.311231457e-01	1.150477679e+00	1.439372533e+00	9.163026169e-01	1.703720532e+00	2.229330218e+00	8.731420720e-01	-1.839918213e-01	-5.418318125e+04	-1.609652761e+01

6	1.645160401e-01	1.080386857e-01	7.866498422e-01	2.415574542e-01	2.262166040e-01	6.294713565e-01	3.248707052e+00	1.629806261e+00	1.325108872e+00	2.043047445e+00	1.454539985e+00	5.671254963e-02	-1.900735448e+04	-1.408660105e+01

7	3.667463320e-01	5.042222245e-01	1.480456966e+00	2.466020772e-01	1.006423653e+00	5.199124820e-01	9.588368680e-01	2.537824559e+00	-3.146562896e-01	3.315801136e-01	1.162084905e+00	-7.422465695e-01	-1.099805007e+05	-1.132296889e+01

8	8.054313137e-01	4.933975706e-01	1.908134346e+00	2.535292030e-01	9.228811230e-01	-2.841350630e+00	1.159319432e+00	3.018368513e+00	1.074307783e+00	2.076911937e+00	4.250625950e-01	2.084030173e+00	-4.297260618e+05	-1.988443446e+01

9	8.015569082e-01	2.052788183e-01	1.699359970e-01	7.362035876e-02	1.419584584e+00	3.281157989e-01	1.545326742e+00	1.504838850e+00	4.865682068e-02	1.777181437e-01	1.870864200e+00	-2.646974056e+00	-3.742431464e+05	-1.427399370e+01

10	1.079708985e+00	1.806956481e-01	3.078344381e-01	2.365439511e+00	4.287687797e+00	5.836895915e-01	2.595654423e-01	9.260402375e-01	-3.956048994e-01	1.251149653e-01	4.884190061e-01	-1.572055225e+00	-5.808304164e+05	-1.373961259e+01

11	3.586284568e+00	2.695739299e-01	8.714932194e-01	2.831762901e-01	1.475082451e+00	1.573851049e-01	1.451006956e+00	1.026734941e-01	-8.250367930e-01	9.131400218e-01	1.213026567e+00	9.324134681e-01	-1.991271177e+06	-1.486082850e+01

12	8.397620369e-02	4.638664890e-01	9.204478497e-01	7.195464383e-01	6.828604709e-01	6.269981969e-01	1.101638883e-01	2.123466328e-01	-4.859622498e-01	9.361680856e-02	7.610624967e-01	1.978797763e-01	-2.879897078e+04	-7.519264170e+00

13	8.794595931e-02	6.158082280e-01	1.442503182e+00	8.313506962e-01	1.529227010e-01	7.495406344e-01	1.280114065e+00	5.868322862e-01	-7.188822498e-02	1.343931971e+00	2.638981895e+00	-6.816934091e-01	-3.373207475e+04	-1.251118098e+01

14	1.473300340e+00	5.519920692e-01	5.448630124e+00	2.106734592e+00	6.950075562e-01	-3.589065113e-01	6.652127287e-01	5.802089435e+00	-1.062605080e+00	7.960690422e-01	1.461038216e+00	5.830051235e-01	-1.310556412e+06	-1.900076237e+01

15	6.947318404e-02	9.145804892e-01	1.065577782e+00	4.146323379e-01	6.610943128e+00	-1.247925766e+00	1.233373406e+00	4.377327915e-01	1.626725450e+00	6.937764967e-01	8.894899228e-01	-6.792122919e-01	-2.204676690e+04	-1.542439388e+01

16	7.597183976e-01	1.986859246e+00	1.368363656e-01	1.068911564e+00	3.487783761e-01	-7.473660989e-01	1.930619421e+00	2.403357237e-01	6.218653692e-01	7.078726643e-02	1.026640653e+00	3.132512029e-01	-1.646970575e+06	-1.162439144e+01

17	1.589940160e-01	1.620041904e+00	4.445693672e-01	6.456578350e-01	4.939118266e-01	7.178850685e-01	2.892049912e-01	5.290718431e-01	-2.251505268e+00	2.300962392e+00	1.603534692e-01	-4.828913340e-01	-1.295832557e+05	-1.321794794e+01

18	5.970428085e-01	5.024862124e-01	1.536543412e+00	6.295484959e-01	1.799990853e+00	-1.840028611e-01	6.064535933e-01	4.214515351e-01	-1.365994455e-03	1.105347908e+00	2.638010131e+00	5.857007301e-01	-2.550069323e+05	-1.229306771e+01

19	6.262450063e-01	1.508526786e+00	1.628443392e+00	5.860078583e-01	7.529274400e-01	1.051594393e+00	6.498062941e-01	1.488735030e+00	4.334736551e-01	3.562660746e+00	7.228044857e-01	-6.675070095e-01	-5.513629678e+05	-1.476965701e+01

20	1.558898123e+00	2.120564901e-01	3.084006562e+00	8.168294804e-01	2.831575781e-01	1.852971350e+00	5.307759244e-01	9.401774382e-01	7.873526895e-01	3.342097467e+00	5.022803883e-01	-1.097710378e+00	-5.876733017e+05	-1.593564651e+01

21	1.365436978e+00	1.130219086e+00	1.052924544e+00	1.043007963e+00	4.906683035e+00	1.002342830e+00	8.398384158e-01	3.789924770e+00	1.358903857e+00	1.474713083e+00	3.066000356e-01	1.553033704e-01	-1.391775236e+06	-1.856482492e+01

22	9.346250037e-01	2.114735405e+00	1.292538961e+00	9.482711365e-01	1.765677226e+00	-1.379493700e+00	5.799246668e-02	1.533582322e-01	-1.243534525e+00	2.950211326e-01	1.900058052e-01	2.441594727e-01	-2.728313310e+06	-1.325273910e+01

23	8.493079760e-01	6.075044153e-01	1.600155857e-02	7.322680419e-01	3.186295621e-01	-2.568588647e+00	1.590750566e+00	3.837369718e+00	-1.458727243e+00	1.075867375e+00	1.991322114e-01	2.074960361e-01	-7.670318322e+05	-1.678693511e+01

24	9.039760380e-01	7.131910035e-01	6.786164853e+00	8.271384860e-01	8.810548617e-01	1.157489520e+00	3.170378542e-01	1.541454685e+00	-1.736284075e-01	1.293932829e+00	3.139061645e-01	-3.293866933e-01	-6.211428648e+05	-1.461750742e+01
0	8.062171391e-01	1.147743260e+00	2.746915088e+00	7.813735054e-01	1.427726361e+00	9.428037740e-01	1.031500585e+00	1.539117280e+00	1.053971670e+00	7.624589718e-02	1.047537403e+00	-1.934073858e+00	-5.432958731e+05	-1.533790518e+01

1	1.641510505e-01	2.892061257e-02	3.580860386e+00	4.000869235e-01	1.054422131e+00	7.969430208e-01	1.167630669e+00	4.258345829e+00	-2.556114536e-02	1.212132051e+00	3.052130652e+00	-1.241573278e+00	-1.697913528e+04	-1.645481789e+01

2	6.346050246e-01	9.210899332e-02	1.449107017e+00	3.759354516e-01	2.708805743e+00	-7.934056848e-02	1.778061275e-01	3.134629144e+00	-1.869102616e-01	1.990809989e-02	5.396776693e-01	-2.973506141e-01	-2.248803539e+05	-1.113116297e+01

3	2.659484945e-02	1.509525902e-01	6.260260163e-01	4.118604576e-01	8.546108840e-01	-5.312643171e-01	3.866456717e-01	9.091928863e-01	-3.801076699e-01	1.385438519e+00	2.172361350e+00	-2.104533590e+00	-6.564927065e+03	-1.207265423e+01

4	1.768472226e-01	1.073838322e-01	7.746668036e-01	4.404612207e-01	1.958672372e+00	6.113623099e-01	2.140591528e+00	1.609782128e+00	2.418044129e-01	5.173130957e+00	1.438672365e+00	-2.806960790e-01	-2.115416557e+04	-1.673691643e+01

