sigma_noise,sigma_gp,lambda,beta0,ell0,beta1,ell1,beta2,ell2
5.369947410765224,373.16838453488896,0.4247131760330625,10.513110282424726,0.6697674068686644,-28.79983097126682,2.0465621546071864,1.253548907690473,0.5550769899478771
3.522055423487317,318.8976362019701,0.48626313133157345,9.30955546567198,0.6697674068686644,-33.28923272960945,0.38209269139577173,-1.1053601051109037,0.5550769899478771
3.522055423487317,441.6770521461589,0.48626313133157345,3.6373605922670356,1.7132804566620823,-33.28923272960945,0.6926009339287962,0.8047416582505913,0.5550769899478771
3.522055423487317,92.8301422595192,0.32027538501730457,3.6373605922670356,1.7132804566620823,-31.678992699271692,0.6926009339287962,3.5277013155844337,1.6949054186848065
3.522055423487317,92.8301422595192,0.30180550986819227,3.6373605922670356,2.527961460353976,-31.094637567293773,1.1768948088850406,2.915126554691022,1.6132517920292324
3.522055423487317,6.141672581250656,0.30180550986819227,1.543490557643152,2.527961460353976,-35.00991155812626,1.1768948088850406,5.2851790582421945,0.1707370456779507
3.4861503636063227,6.141672581250656,0.30180550986819227,7.703153628256986,2.527961460353976,-36.57494434079416,5.471576470948507,5.999020636080946,0.08481474180313377
3.4861503636063227,6.141672581250656,0.30180550986819227,7.661969208001552,0.3653806580492537,-36.57494434079416,5.471576470948507,5.999020636080946,0.2318914377516084
3.4861503636063227,6.141672581250656,0.29698976589091397,4.625556234417141,0.3653806580492537,-36.57494434079416,5.471576470948507,9.931896813767402,1.6812970770457574
3.4861503636063227,6.235082509910901,0.29698976589091397,-3.0933295919590345,0.3653806580492537,-31.9954154201868,5.471576470948507,9.931896813767402,1.6812970770457574
3.4861503636063227,6.235082509910901,0.29698976589091397,-7.775506458214042,3.4144688650467923,-34.89549816659893,5.471576470948507,9.223039580966976,1.6812970770457574
3.4861503636063227,1.2279613054564218,0.29698976589091397,-6.049046869305281,3.4144688650467923,-42.80269064114386,4.715309647039982,10.761809161153456,1.2201119067143342
3.4861503636063227,2.5938181426237428,0.29698976589091397,-5.620574416580324,3.4144688650467923,-43.19644363213643,4.715309647039982,13.807329824834518,1.2201119067143342
2.906784103699617,2.5938181426237428,0.29698976589091397,-6.663787568992626,0.3442818054935903,-43.0255477668805,4.715309647039982,10.366531018515584,0.7555146896908337
2.906784103699617,0.3881414017130039,0.29698976589091397,-6.663787568992626,0.3442818054935903,-39.86397013556518,1.8265200385077893,10.366531018515584,0.7555146896908337
2.906784103699617,0.3881414017130039,0.29698976589091397,-10.113871989233322,0.3442818054935903,-33.74348558648678,1.8265200385077893,8.678474740402335,0.7555146896908337
2.906784103699617,4.002860472906215,0.29698976589091397,-2.020420998638082,2.802113507799352,-27.85561370008261,1.8265200385077893,12.100691170234672,0.7555146896908337
1.3445796872324003,2.0500254722020146,0.3517736944129782,-2.020420998638082,2.802113507799352,-27.85561370008261,4.432291433119734,12.100691170234672,1.3063274428959195
7.317773894092725,2.4103589311935125,0.19693749855014386,0.5524155404915567,2.802113507799352,-30.740511948272506,2.5123673740548442,13.207569167840143,1.3063274428959195
18.114527755483813,2.3098517063802033,0.23095289064721014,4.667075799064939,2.802113507799352,-36.90126614771312,2.5123673740548442,17.996029482476935,1.3063274428959195
17.50207166651029,2.3098517063802033,0.23095289064721014,11.895018518583964,2.802113507799352,-36.81659694709607,0.7652087448844875,11.433782251045113,1.3063274428959195
